sName,Level of Identity,Level of Skills,Level of Knowledge,Context of Performance,Personal Factors,Fixed Factors,Avg_Identity,Avg_Skills,Avg_Knowledge,Avg_cPerfromance,Avg_pFactors,Avg_fFactors,Overall,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,GWA
Denise Jacobs,"{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}",2.5,1.75,2.0,2.5,3.0,1.75,2.25,2.5,1.5,2.5,2.0,2.75,1.5,2.0,1.0,1.97
Christina Walters,"{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 4}",2.5,2.25,2.25,1.5,2.5,3.0,2.33,1.75,2.5,1.75,1.75,1.5,1.5,1.25,3.0,1.88
John Whitehead,"{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 2}",1.5,2.0,1.75,2.5,2.25,2.0,2.0,1.0,1.25,2.5,1.5,2.0,1.75,3.0,2.75,1.97
Anna Henderson,"{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 2}",2.25,1.25,1.75,2.0,2.0,2.5,1.96,1.75,2.75,3.0,1.25,1.25,5.0,1.5,3.0,2.31
Aaron Wise,"{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 1}",1.75,2.5,2.75,3.0,2.75,2.5,2.54,5.0,2.75,1.5,2.5,1.5,1.5,1.5,2.25,2.19
Deborah Figueroa,"{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 4}",2.75,2.25,3.0,2.25,2.5,2.75,2.58,2.0,1.25,2.75,2.0,3.0,3.0,1.25,1.75,2.12
Jessica Smith,"{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 3}",1.25,3.5,2.0,2.75,2.0,3.25,2.46,3.0,2.75,2.0,1.25,2.5,2.0,2.5,2.0,2.25
Stephen Mckee,"{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 1}",2.0,2.25,3.5,2.0,1.75,1.75,2.21,2.75,1.75,1.75,2.5,1.75,1.25,1.5,3.0,2.03
Sandra Aguilar,"{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 2}",3.0,2.25,2.25,1.75,1.75,2.25,2.21,1.0,1.5,1.75,1.0,2.25,2.75,1.5,3.0,1.84
Cameron Parker,"{'Q1': 3, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 2}",2.75,2.75,1.75,3.25,3.25,1.75,2.58,2.5,2.75,2.5,2.5,3.0,1.75,3.0,2.25,2.53
Rebecca Valencia,"{'Q1': 3, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 3}",3.5,1.75,2.75,2.25,2.25,3.0,2.58,2.25,1.25,1.5,2.5,1.5,3.0,2.75,2.5,2.16
Christine Wright,"{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 4}",1.75,3.25,3.0,2.5,1.5,3.0,2.5,2.0,1.0,2.75,2.75,1.75,1.75,1.5,1.5,1.88
Richard Henson,"{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 2}",1.5,2.75,1.75,2.25,1.75,3.0,2.17,1.5,1.25,2.75,1.75,2.5,1.0,1.25,1.75,1.72
Marc Moore,"{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 1}",3.5,2.5,1.75,2.25,3.25,2.25,2.58,2.25,1.5,1.0,2.25,2.75,2.25,2.25,1.25,1.94
Sharon Cherry,"{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 1}",2.0,2.25,2.0,2.5,3.0,1.25,2.17,1.25,2.75,2.75,2.75,2.25,2.75,1.75,1.75,2.25
Sierra Johnson,"{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 1}",3.0,3.25,3.5,2.75,3.25,2.0,2.96,1.75,3.0,1.5,3.0,2.75,1.5,3.0,2.5,2.38
Evelyn Galvan,"{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 2}",1.75,2.5,3.25,2.75,2.5,2.25,2.5,1.75,1.5,1.75,2.0,2.5,1.5,2.75,1.75,1.94
Sharon Cochran,"{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 3}",1.5,3.25,2.75,2.25,3.25,2.25,2.54,3.0,2.25,2.25,1.0,2.25,1.0,3.0,2.75,2.19
Richard Rodriguez,"{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 4, 'Q4': 4}",2.0,2.25,1.5,1.0,2.5,3.75,2.17,2.75,1.75,1.75,2.0,2.0,2.0,2.75,1.5,2.06
Shannon Walker,"{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 3}",1.75,3.0,2.0,3.0,2.25,2.0,2.33,1.5,3.0,1.0,2.25,2.25,2.75,1.5,2.5,2.09
Julia Torres,"{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 1}",2.75,2.5,2.25,2.75,3.5,2.25,2.67,2.0,2.0,2.75,2.75,1.75,2.75,1.5,2.75,2.28
Crystal Johnson,"{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 3}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 1}",2.75,2.25,2.75,3.5,1.5,1.5,2.38,1.25,3.0,1.25,2.75,1.75,2.5,2.5,3.0,2.25
Garrett Lin,"{'Q1': 3, 'Q2': 3, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 3}",2.5,3.5,3.25,2.75,2.25,1.75,2.67,3.0,1.25,1.25,1.75,1.75,3.0,1.5,2.0,1.94
Diana May,"{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 1}",2.25,1.75,2.0,2.5,1.5,2.25,2.04,2.75,3.0,2.75,2.0,1.25,2.25,1.75,3.0,2.34
William Herrera,"{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 1, 'Q4': 2}",2.0,2.5,2.25,2.25,2.25,2.0,2.21,1.5,1.25,1.5,1.75,1.25,2.75,1.5,2.0,1.69
Ashley Waller,"{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 2}",2.25,3.25,2.0,2.0,1.75,2.75,2.33,2.25,3.0,2.75,2.5,3.0,2.0,1.75,1.25,2.31
Victor Baker,"{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 3}",2.0,2.75,2.0,2.25,3.25,3.0,2.54,2.25,1.5,2.5,1.75,1.75,1.25,1.25,1.5,1.72
Jeffrey Chandler,"{'Q1': 2, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 4}",1.75,1.75,3.25,2.75,2.0,2.75,2.38,1.25,1.25,1.5,2.25,1.25,1.25,2.0,1.25,1.5
Larry Dixon,"{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 1}","{'Q1': 3, 'Q2': 2, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 2}",1.75,2.75,3.0,3.25,2.0,2.5,2.54,2.5,1.75,1.0,1.25,1.25,1.25,3.0,2.25,1.78
Kenneth Scott,"{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 1}",2.0,3.25,1.75,2.75,2.5,2.75,2.5,2.0,2.5,3.0,1.75,1.0,2.5,2.5,3.0,2.28
April Frost,"{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 3}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 2, 'Q3': 3, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 1}",2.0,2.75,2.0,3.5,2.5,1.25,2.33,2.5,1.5,1.0,3.0,2.75,1.0,1.25,2.75,1.97
Michelle Harmon,"{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 3}","{'Q1': 2, 'Q2': 2, 'Q3': 2, 'Q4': 3}",3.25,2.0,2.0,3.25,2.0,2.25,2.46,2.0,2.25,2.5,1.5,1.0,2.0,2.25,1.0,1.81
Helen Jones,"{'Q1': 1, 'Q2': 3, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 4}","{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 4}",2.0,2.75,2.5,2.0,1.75,3.0,2.33,1.0,2.0,2.0,2.5,2.5,1.75,2.0,2.5,2.03
Erin Edwards,"{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 1, 'Q2': 3, 'Q3': 4, 'Q4': 2}",2.25,2.5,2.75,2.75,2.5,2.5,2.54,1.5,1.75,2.5,2.25,2.75,2.75,1.5,1.25,2.03
Michelle Evans,"{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 4}",2.0,1.0,2.0,2.25,2.0,2.75,2.0,1.0,2.0,2.25,2.75,2.75,2.0,2.25,1.5,2.06
Jason Powell,"{'Q1': 1, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 1}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 2}","{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 2}",1.5,1.75,1.0,3.0,3.0,2.75,2.17,3.0,1.5,2.25,2.75,1.0,2.25,2.0,2.25,2.12
Cameron Fisher,"{'Q1': 4, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 1}","{'Q1': 4, 'Q2': 1, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 2, 'Q3': 2, 'Q4': 2}",3.25,2.25,2.25,2.75,2.0,2.25,2.46,2.75,2.5,2.0,2.75,1.5,1.0,2.25,2.25,2.12
Megan Orr,"{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 2}","{'Q1': 4, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 1, 'Q2': 3, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 4, 'Q3': 3, 'Q4': 3}",3.25,2.5,3.25,2.75,2.5,3.5,2.96,2.75,1.0,2.75,1.75,2.5,1.5,1.0,2.75,2.0
Elizabeth Kelley,"{'Q1': 4, 'Q2': 3, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 3, 'Q3': 2, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 1, 'Q2': 2, 'Q3': 3, 'Q4': 2}",3.5,3.0,2.5,2.0,3.5,2.0,2.75,1.5,3.0,1.0,1.5,1.25,,1.75,1.25,2.53
Dustin Jordan,"{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 1}","{'Q1': 1, 'Q2': 1, 'Q3': 4, 'Q4': 4}","{'Q1': 4, 'Q2': 1, 'Q3': 3, 'Q4': 1}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 3}","{'Q1': 3, 'Q2': 1, 'Q3': 3, 'Q4': 4}",2.5,1.5,2.5,2.25,2.75,2.75,2.38,1.0,2.0,1.25,2.5,1.75,2.5,2.5,2.5,2.0
Mary Marshall,"{'Q1': 4, 'Q2': 3, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 2, 'Q2': 2, 'Q3': 4, 'Q4': 1}","{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 4}","{'Q1': 1, 'Q2': 4, 'Q3': 3, 'Q4': 4}","{'Q1': 2, 'Q2': 4, 'Q3': 3, 'Q4': 3}",2.5,1.75,2.25,3.25,3.0,3.0,2.62,2.75,2.5,2.5,2.5,1.25,2.0,1.0,2.5,2.12
Daniel Kennedy,"{'Q1': 2, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 3, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 3}",3.0,2.25,2.75,3.0,2.75,1.5,2.54,3.0,2.5,1.5,2.75,2.75,2.5,2.5,2.0,2.44
Rebecca Jackson,"{'Q1': 2, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 2}","{'Q1': 4, 'Q2': 4, 'Q3': 4, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 3, 'Q3': 3, 'Q4': 2}",3.0,2.75,2.25,3.5,1.5,2.25,2.54,1.0,2.25,2.0,1.0,2.5,2.75,1.0,1.75,1.78
Jose Schultz,"{'Q1': 1, 'Q2': 1, 'Q3': 3, 'Q4': 4}","{'Q1': 3, 'Q2': 4, 'Q3': 3, 'Q4': 1}","{'Q1': 2, 'Q2': 4, 'Q3': 1, 'Q4': 4}","{'Q1': 3, 'Q2': 1, 'Q3': 2, 'Q4': 2}","{'Q1': 2, 'Q2': 1, 'Q3': 4, 'Q4': 2}","{'Q1': 4, 'Q2': 2, 'Q3': 4, 'Q4': 4}",2.25,2.75,2.75,2.0,2.25,3.5,2.58,1.75,1.75,1.75,1.0,2.75,1.0,2.0,2.75,1.84
Robert Potter,"{'Q1': 3, 'Q2': 4, 'Q3': 2, 'Q4': 4}","{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 3}","{'Q1': 3, 'Q2': 3, 'Q3': 2, 'Q4': 1}","{'Q1': 1, 'Q2': 4, 'Q3': 4, 'Q4': 3}","{'Q1': 4, 'Q2': 3, 'Q3': 4, 'Q4': 2}","{'Q1': 3, 'Q2': 1, 'Q3': 1, 'Q4': 1}",3.25,3.5,2.25,3.0,3.25,1.5,2.79,1.0,1.0,2.0,2.25,1.25,3.0,3.0,1.5,1.88
Courtney Gonzalez,"{'Q1': 4, 'Q2': 2, 'Q3': 1, 'Q4': 2}","{'Q1': 2, 'Q2': 2, 'Q3': 1, 'Q4': 4}","{'Q1': 3, 'Q2': 3, 'Q3': 3, 'Q4': 3}","{'Q1': 4, 'Q2': 2, 'Q3': 2, 'Q4': 2}","{'Q1': 1, 'Q2': 4, 'Q3': 1, 'Q4': 3}","{'Q1': 2, 'Q2': 1, 'Q3': 3, 'Q4': 1}",2.25,2.25,3.0,2.5,2.25,1.75,2.33,2.5,2.25,1.75,3.0,1.75,2.25,1.75,3.0,2.28
