Name,Year,Student Number,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Subject_7,Subject_8,Final Grade,Subjects Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time Allocation_Question_1,Time Allocation_Question_2,Time Allocation_Question_3,Reading and Note Taking_Question_1,Reading and Note Taking_Question_2,Reading and Note Taking_Question_3,Study Period Procedures_Question_1,Study Period Procedures_Question_2,Study Period Procedures_Question_3,Written Works_Question_1,Written Works_Question_2,Written Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
Tony Graham,1,24424244,1.25,1.5,2.75,2.5,1.25,,,,1.89,0,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree
Robert Bell,3,22345683,1.5,1.25,3.0,1.5,1.5,1.25,2.0,,1.71,0,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree
Keith Miller,2,23832565,2.25,3.0,2.0,1.0,3.0,1.75,1.25,2.0,2.02,0,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
Lisa Williams,1,24001753,2.25,2.5,4.0,2.5,2.0,,,,2.68,0,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree
Edward Jordan,1,24136379,1.0,1.5,3.0,4.0,1.0,,,,2.18,0,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree
Rebecca Yang,3,22952787,2.25,1.75,4.0,1.0,1.5,1.75,2.25,,2.07,0,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree
Kayla Miller,2,23557980,2.25,2.0,1.5,1.75,4.0,1.5,2.75,2.75,2.32,0,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree
Patrick Johnson,1,24778887,2.25,1.75,1.75,2.5,2.25,,,,2.09,0,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree
Alan Nguyen,4,21685556,4.0,4.0,1.25,2.5,2.75,,,,2.9,0,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Agree
John Thompson,1,24177060,2.0,1.5,1.75,1.25,4.0,,,,2.11,0,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree
Autumn Mccormick,3,22440652,4.0,4.0,4.0,2.5,4.0,4.0,2.25,,3.54,0,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree
Jennifer Blackwell,2,23349476,2.5,1.75,3.0,1.0,5.0,2.0,2.5,3.0,2.6,1,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
Kristin Walsh,2,23469660,2.25,1.25,2.0,2.5,1.0,1.5,5.0,2.5,2.25,1,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree
Charles Nolan,2,23128730,1.0,1.25,2.5,1.75,3.0,2.0,1.0,5.0,2.24,1,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree
Shane Reyes,2,23105584,1.0,4.0,1.0,1.75,1.25,1.5,1.5,5.0,2.17,1,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree
Lisa Ward,4,21239278,1.25,1.5,2.0,1.0,4.0,,,,1.95,0,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree
Sarah Cruz MD,3,22658997,1.5,2.75,3.0,1.0,1.75,5.0,3.0,,2.57,1,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree
Teresa Howard,1,24858951,3.0,5.0,1.75,2.0,4.0,,,,3.16,1,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree
Joseph Ford,2,23511943,3.0,1.75,2.25,2.25,3.0,2.25,2.75,1.25,2.28,0,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree
Lance Smith,3,22841695,4.0,1.0,2.75,1.25,1.5,2.5,2.75,,2.25,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Agree
Melanie Arnold,2,23603559,2.25,1.25,2.75,1.25,2.0,1.5,4.0,1.25,2.02,0,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree
Keith Lowery,1,24524974,2.25,1.0,5.0,4.0,2.25,,,,2.95,1,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree
Kelli Bennett,1,24365406,2.5,2.25,4.0,2.75,2.75,,,,2.88,0,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree
Jesus Benjamin,2,23398189,1.0,2.0,2.25,1.25,1.5,5.0,3.0,3.0,2.43,1,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree
Manuel Warren,4,21292203,2.5,2.75,5.0,1.25,1.75,,,,2.65,1,Disagree,Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree
David Green,1,24671460,5.0,4.0,2.5,1.75,2.25,,,,2.96,1,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree
Brandon Carey,4,21395875,1.5,1.5,1.75,2.25,1.75,,,,1.75,0,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Michael Freeman,2,23822097,1.5,2.75,3.0,4.0,1.75,1.0,4.0,2.5,2.61,0,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree
Jordan Johnson,2,23917265,5.0,5.0,5.0,1.75,5.0,2.0,1.25,5.0,3.7,5,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree
Calvin Cervantes,3,22182119,4.0,4.0,1.5,3.0,2.75,1.5,2.0,,2.68,0,Agree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree
Tonya Vazquez,1,24086223,4.0,4.0,2.25,2.25,2.75,,,,2.98,0,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Kevin Alvarado,1,24280132,2.0,1.75,1.5,2.75,3.0,,,,2.21,0,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree
Jason Flynn,2,23137765,2.0,2.5,1.0,1.75,2.5,2.0,1.75,1.5,1.87,0,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
Andre English,4,21518936,1.25,2.25,1.75,2.75,1.0,,,,1.8,0,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree
Lawrence Compton,3,22208378,2.25,5.0,1.25,1.5,1.5,1.25,4.0,,2.39,1,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree
Dennis Rogers,2,23698265,2.75,2.0,2.5,1.25,4.0,3.0,1.25,1.75,2.29,0,,,,,,,,,,,,,,,,,,
Jon Smith,4,21457098,2.25,4.0,3.0,4.0,1.25,,,,2.9,0,,,,,,,,,,,,,,,,,,
Yvette Lewis,1,24269367,2.5,4.0,5.0,1.75,2.25,,,,3.14,1,,,,,,,,,,,,,,,,,,
James Bush,4,21538751,1.5,1.0,1.25,4.0,2.75,,,,2.1,0,,,,,,,,,,,,,,,,,,
Scott Gould,4,21781499,1.0,2.75,5.0,2.25,2.75,,,,2.75,1,,,,,,,,,,,,,,,,,,
Bruce Lawson,4,21988744,4.0,4.0,4.0,2.0,4.0,,,,3.6,0,,,,,,,,,,,,,,,,,,
Jason Gonzalez,4,21414675,5.0,1.5,1.0,2.0,2.0,,,,2.3,1,,,,,,,,,,,,,,,,,,
Jennifer Bass,2,23441912,1.25,4.0,2.75,2.5,2.0,2.25,1.75,5.0,2.75,1,,,,,,,,,,,,,,,,,,
Nichole Wade,2,23072692,2.75,1.0,1.75,2.75,1.25,1.0,2.0,1.25,1.67,0,,,,,,,,,,,,,,,,,,
Nancy Ballard,3,22536514,2.25,2.5,1.25,1.5,1.25,2.25,1.5,,1.79,0,,,,,,,,,,,,,,,,,,
Christopher Hall,1,24464496,5.0,4.0,2.0,2.25,1.25,,,,2.75,1,,,,,,,,,,,,,,,,,,
Audrey Farmer,4,21246713,2.25,1.0,1.0,3.0,1.0,,,,1.65,0,,,,,,,,,,,,,,,,,,
Adrian Gross,2,23647433,5.0,2.0,4.0,2.25,2.5,2.25,1.75,1.0,2.49,1,,,,,,,,,,,,,,,,,,
Rachel Wood,3,22822797,5.0,3.0,1.25,4.0,1.5,2.75,2.25,,2.82,1,,,,,,,,,,,,,,,,,,
Nancy Hall,3,22196871,2.25,2.25,3.0,1.25,2.5,5.0,4.0,,2.89,1,,,,,,,,,,,,,,,,,,
Antonio Torres,2,23656787,1.5,2.0,4.0,2.25,2.0,4.0,2.0,2.5,2.58,0,,,,,,,,,,,,,,,,,,
Crystal Flowers,4,21348621,2.5,3.0,3.0,2.0,1.75,,,,2.45,0,,,,,,,,,,,,,,,,,,
Tiffany Hill,3,22627295,5.0,1.0,3.0,1.0,2.25,2.75,1.5,,2.36,1,,,,,,,,,,,,,,,,,,
Paula Williams,4,21569515,3.0,2.5,2.5,5.0,1.25,,,,2.85,1,,,,,,,,,,,,,,,,,,
Brian Rivera,3,22539187,5.0,2.75,1.75,2.5,4.0,4.0,4.0,,3.43,1,,,,,,,,,,,,,,,,,,
Tracy Garrison,2,23101594,1.75,1.25,1.75,2.0,2.0,3.0,2.5,3.0,2.17,0,,,,,,,,,,,,,,,,,,
Kevin Shaw,2,23673701,2.0,2.5,1.0,5.0,5.0,1.75,5.0,2.75,3.17,3,,,,,,,,,,,,,,,,,,
Douglas Shaw,4,21773811,2.0,3.0,1.25,5.0,2.0,,,,2.65,1,,,,,,,,,,,,,,,,,,
Michelle Turner,1,24634401,1.25,1.0,2.25,1.0,3.0,,,,1.73,0,,,,,,,,,,,,,,,,,,
Dr. Elizabeth Anderson,2,23111566,2.0,1.75,1.5,1.0,5.0,2.5,1.0,2.5,2.16,1,,,,,,,,,,,,,,,,,,
Harold Castillo,3,22579381,1.25,2.0,3.0,4.0,2.0,1.25,1.5,,2.14,0,,,,,,,,,,,,,,,,,,
Lawrence Cortez,1,24058950,4.0,2.5,1.25,3.0,2.75,,,,2.61,0,,,,,,,,,,,,,,,,,,
Carl Gonzales,3,22759682,1.25,2.25,2.75,2.75,1.75,3.0,4.0,,2.54,0,,,,,,,,,,,,,,,,,,
Nichole Walton,3,22972379,2.5,1.25,2.25,2.5,1.5,2.0,2.75,,2.11,0,,,,,,,,,,,,,,,,,,
Martin Phillips,3,22470578,5.0,5.0,5.0,3.0,2.75,2.0,1.75,,3.5,3,,,,,,,,,,,,,,,,,,
Sara Oconnor,4,21025808,3.0,2.75,4.0,4.0,1.25,,,,3.0,0,,,,,,,,,,,,,,,,,,
Nathaniel Johnston,3,22606398,1.75,1.75,4.0,2.25,4.0,2.25,5.0,,3.0,1,,,,,,,,,,,,,,,,,,
Amy Smith,3,22417452,1.0,2.0,1.25,2.0,1.25,2.5,4.0,,2.0,0,,,,,,,,,,,,,,,,,,
William Reed,3,22776350,2.0,1.0,1.0,2.0,2.5,1.75,4.0,,2.04,0,,,,,,,,,,,,,,,,,,
Cindy Romero,1,24182999,1.0,2.75,1.5,4.0,2.5,,,,2.45,0,,,,,,,,,,,,,,,,,,
Emily Miller,4,21598098,5.0,2.0,2.0,2.0,1.75,,,,2.55,1,,,,,,,,,,,,,,,,,,
Angel Johnson,2,23369197,2.5,1.0,1.5,3.0,1.25,4.0,2.75,3.0,2.37,0,,,,,,,,,,,,,,,,,,
Gregory Martin,1,24832564,5.0,2.75,4.0,1.75,1.25,,,,2.8,1,,,,,,,,,,,,,,,,,,
Melinda Hines,3,22922542,1.5,3.0,3.0,2.0,1.0,1.5,2.75,,2.11,0,,,,,,,,,,,,,,,,,,
