Student Name,Year Level,Student Number,Homework/Assignment,Time Allocation,Reading and Note-Taking,Study Period Procedure,Written Works,Examination Taking,Teachers Consultation
Devon Foster,2,23574833,"['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']"
Judith Hale,3,22593573,"['Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']"
Leslie Lloyd DVM,3,22662695,"['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']"
Hannah Monroe,4,21377687,"['Disagree', 'Strongly Agree', 'Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']"
Alicia Weiss,1,24753152,"['Agree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Stephanie Rogers,1,24374506,"['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']"
Samantha Wallace,4,21603368,"['Disagree', 'Strongly Disagree', 'Agree']","['Agree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Agree']"
Jane Mccall,2,23914931,"['Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']"
Dana Patterson,1,24930077,"['Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Disagree']"
Jamie Murphy,1,24572470,"['Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Disagree']"
Emma Freeman,1,24817690,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']"
Fernando Wilson,4,21607112,"['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']"
Mr. James Johnson,4,21504593,"['Strongly Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']"
Christine Smith DDS,4,21488992,"['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']"
Kenneth Gentry,2,23639211,"['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']"
John Conley,3,22227120,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']"
Carlos Brown,3,22996419,"['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']"
Pamela Simmons,4,21775933,"['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Strongly Disagree']"
William Wright,2,23757820,"['Disagree', 'Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Agree']"
Rhonda Chavez,3,22307349,"['Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']"
Erin Barrera,3,22913813,"['Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']"
Loretta Franco,4,21975012,"['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']"
Sharon Gomez,2,23455683,"['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Disagree']"
Tony Graham,4,21531555,"['Agree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']"
Robert Bell,2,23226989,"['Strongly Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Agree']","['Disagree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Disagree']"
Keith Miller,3,22278093,"['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Lisa Williams,1,24134980,"['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']"
Edward Jordan,1,24475554,"['Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Agree']"
Rebecca Yang,1,24876351,"['Strongly Agree', 'Disagree', 'Agree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Agree']"
Kayla Miller,1,24496344,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']"
Patrick Johnson,3,22151553,"['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Agree']"
Alan Nguyen,3,22703144,"['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Agree', 'Agree']","['Disagree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']"
John Thompson,3,22458762,"['Agree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Autumn Mccormick,4,21941040,"['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Agree', 'Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']"
Jennifer Blackwell,1,24882140,"['Strongly Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Agree']","['Agree', 'Agree', 'Disagree']","['Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Kristin Walsh,2,23807945,"['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']","['Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']"
Charles Nolan,2,23807904,"['Disagree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']"
Shane Reyes,3,22400889,"['Disagree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Agree']"
Lisa Ward,3,22010364,"['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']"
Sarah Cruz MD,4,21254680,"['Disagree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']"
Teresa Howard,2,23897250,"['Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Disagree']"
Joseph Ford,1,24130295,"['Strongly Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']"
Lance Smith,3,22594907,"['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']"
Melanie Arnold,3,22296943,"['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']"
Keith Lowery,3,22055344,"['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Agree', 'Agree', 'Agree']"
Kelli Bennett,2,23670235,"['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']"
Jesus Benjamin,1,24281473,"['Agree', 'Agree', 'Agree']","['Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']"
Manuel Warren,1,24833723,"['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Agree', 'Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Agree', 'Disagree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']"
David Green,4,21273139,"['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']"
Brandon Carey,3,22294552,"['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']"
Michael Freeman,4,21384423,"['Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']"
Jordan Johnson,2,23458505,"['Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Disagree']"
Calvin Cervantes,3,22916268,"['Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Agree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Tonya Vazquez,1,24063922,"['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Kevin Alvarado,2,23635120,"['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Agree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']"
Jason Flynn,1,24763775,"['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']"
Andre English,3,22445304,"['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']"
Lawrence Compton,1,24028294,"['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Agree', 'Disagree']","['Disagree', 'Disagree', 'Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Agree']"
Dennis Rogers,2,23125764,"['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Agree']"
Jon Smith,2,23115019,"['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Agree']"
Yvette Lewis,2,23796758,"['Agree', 'Strongly Disagree', 'Agree']","['Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Disagree', 'Disagree', 'Strongly Agree']"
James Bush,3,22446227,"['Disagree', 'Strongly Disagree', 'Disagree']","['Agree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Strongly Disagree']"
Scott Gould,2,23557483,"['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Disagree', 'Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Agree', 'Agree']"
Bruce Lawson,3,22258494,"['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Disagree', 'Disagree']","['Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Jason Gonzalez,1,24420527,"['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Agree', 'Disagree', 'Agree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Agree']","['Disagree', 'Disagree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']"
Jennifer Bass,1,24107715,"['Agree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']"
Nichole Wade,4,21676911,"['Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Agree']","['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']"
Nancy Ballard,2,23023582,"['Agree', 'Strongly Agree', 'Agree']","['Disagree', 'Agree', 'Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Disagree']"
Christopher Hall,3,22564422,"['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']"
Audrey Farmer,2,23610933,"['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Agree', 'Agree']","['Agree', 'Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Agree', 'Disagree']"
Adrian Gross,1,24230139,"['Strongly Disagree', 'Agree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Disagree']","['Strongly Agree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Disagree', 'Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']"
